# MRS ProoVer 2026 corpus manifest, schema_version=1
# columns: id<TAB>problem_file<TAB>proof_file<TAB>category<TAB>accepted_verdicts<TAB>max_score
PRV027+1	Problems/PRV027+1.p	Proofs/PRV027+1.s	valid	VerifiedGood	1
PRV028+1	Problems/PRV028+1.p	Proofs/PRV028+1.s	evil	VerifiedBad	2
PRV029+1	Problems/PRV029+1.p	Proofs/PRV029+1.s	valid	VerifiedGood	1
PRV030+1	Problems/PRV030+1.p	Proofs/PRV030+1.s	valid	VerifiedGood	1
PRV031+1	Problems/PRV031+1.p	Proofs/PRV031+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV032+1	Problems/PRV032+1.p	Proofs/PRV032+1.s	evil	VerifiedBad	2
PRV033+1	Problems/PRV033+1.p	Proofs/PRV033+1.s	valid	VerifiedGood	1
PRV034+1	Problems/PRV034+1.p	Proofs/PRV034+1.s	valid	VerifiedGood	1
PRV035+1	Problems/PRV035+1.p	Proofs/PRV035+1.s	evil	VerifiedBad	2
PRV036+1	Problems/PRV036+1.p	Proofs/PRV036+1.s	evil	VerifiedBad	2
PRV037+1	Problems/PRV037+1.p	Proofs/PRV037+1.s	evil	VerifiedBad	2
PRV038+1	Problems/PRV038+1.p	Proofs/PRV038+1.s	evil	VerifiedBad	2
PRV039+1	Problems/PRV039+1.p	Proofs/PRV039+1.s	evil	VerifiedBad	2
PRV040+1	Problems/PRV040+1.p	Proofs/PRV040+1.s	valid	VerifiedGood	1
PRV041+1	Problems/PRV041+1.p	Proofs/PRV041+1.s	valid	VerifiedGood	1
PRV042+1	Problems/PRV042+1.p	Proofs/PRV042+1.s	valid	VerifiedGood	1
PRV043+1	Problems/PRV043+1.p	Proofs/PRV043+1.s	valid	VerifiedGood	1
PRV044+1	Problems/PRV044+1.p	Proofs/PRV044+1.s	valid	VerifiedGood	1
PRV045+1	Problems/PRV045+1.p	Proofs/PRV045+1.s	valid	VerifiedGood	1
PRV046+1	Problems/PRV046+1.p	Proofs/PRV046+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV047+1	Problems/PRV047+1.p	Proofs/PRV047+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV048+1	Problems/PRV048+1.p	Proofs/PRV048+1.s	valid	VerifiedGood	1
PRV049+1	Problems/PRV049+1.p	Proofs/PRV049+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV050+1	Problems/PRV050+1.p	Proofs/PRV050+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV051+1	Problems/PRV051+1.p	Proofs/PRV051+1.s	evil	VerifiedBad	2
PRV052+1	Problems/PRV052+1.p	Proofs/PRV052+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV053+1	Problems/PRV053+1.p	Proofs/PRV053+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV054+1	Problems/PRV054+1.p	Proofs/PRV054+1.s	evil	VerifiedBad	2
PRV055+1	Problems/PRV055+1.p	Proofs/PRV055+1.s	valid	VerifiedGood	1
PRV056+1	Problems/PRV056+1.p	Proofs/PRV056+1.s	evil	VerifiedBad	2
PRV057+1	Problems/PRV057+1.p	Proofs/PRV057+1.s	evil	VerifiedBad	2
PRV058+1	Problems/PRV058+1.p	Proofs/PRV058+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV059+1	Problems/PRV059+1.p	Proofs/PRV059+1.s	valid	VerifiedGood	1
PRV060+1	Problems/PRV060+1.p	Proofs/PRV060+1.s	valid	VerifiedGood	1
PRV061+1	Problems/PRV061+1.p	Proofs/PRV061+1.s	valid	VerifiedGood	1
PRV062+1	Problems/PRV062+1.p	Proofs/PRV062+1.s	valid	VerifiedGood	1
PRV063+1	Problems/PRV063+1.p	Proofs/PRV063+1.s	valid	VerifiedGood	1
PRV064+1	Problems/PRV064+1.p	Proofs/PRV064+1.s	valid	VerifiedGood	1
PRV065+1	Problems/PRV065+1.p	Proofs/PRV065+1.s	valid	VerifiedGood	1
PRV066+1	Problems/PRV066+1.p	Proofs/PRV066+1.s	valid	VerifiedGood	1
PRV067+1	Problems/PRV067+1.p	Proofs/PRV067+1.s	evil	VerifiedBad	2
PRV068+1	Problems/PRV068+1.p	Proofs/PRV068+1.s	evil	VerifiedBad	2
PRV069+1	Problems/PRV069+1.p	Proofs/PRV069+1.s	evil	VerifiedBad	2
PRV070+1	Problems/PRV070+1.p	Proofs/PRV070+1.s	valid	VerifiedGood	1
PRV071+1	Problems/PRV071+1.p	Proofs/PRV071+1.s	evil	VerifiedBad	2
PRV072+1	Problems/PRV072+1.p	Proofs/PRV072+1.s	evil	VerifiedBad	2
PRV073+1	Problems/PRV073+1.p	Proofs/PRV073+1.s	valid	VerifiedGood	1
PRV074+1	Problems/PRV074+1.p	Proofs/PRV074+1.s	evil	VerifiedBad	2
PRV075+1	Problems/PRV075+1.p	Proofs/PRV075+1.s	evil	VerifiedBad	2
PRV076+1	Problems/PRV076+1.p	Proofs/PRV076+1.s	valid	VerifiedGood	1
PRV077+1	Problems/PRV077+1.p	Proofs/PRV077+1.s	evil	VerifiedBad	2
PRV078+1	Problems/PRV078+1.p	Proofs/PRV078+1.s	evil	VerifiedBad	2
PRV079+1	Problems/PRV079+1.p	Proofs/PRV079+1.s	valid	VerifiedGood	1
PRV080+1	Problems/PRV080+1.p	Proofs/PRV080+1.s	valid	VerifiedGood	1
PRV081+1	Problems/PRV081+1.p	Proofs/PRV081+1.s	valid	VerifiedGood	1
PRV082+1	Problems/PRV082+1.p	Proofs/PRV082+1.s	valid	VerifiedGood	1
PRV083+1	Problems/PRV083+1.p	Proofs/PRV083+1.s	evil	VerifiedBad	2
PRV084+1	Problems/PRV084+1.p	Proofs/PRV084+1.s	evil	VerifiedBad	2
PRV085+1	Problems/PRV085+1.p	Proofs/PRV085+1.s	valid	VerifiedGood	1
PRV086+1	Problems/PRV086+1.p	Proofs/PRV086+1.s	evil	VerifiedBad	2
PRV087+1	Problems/PRV087+1.p	Proofs/PRV087+1.s	evil	VerifiedBad	2
PRV088+1	Problems/PRV088+1.p	Proofs/PRV088+1.s	valid	VerifiedGood	1
PRV089+1	Problems/PRV089+1.p	Proofs/PRV089+1.s	valid	VerifiedGood	1
PRV090+1	Problems/PRV090+1.p	Proofs/PRV090+1.s	evil	VerifiedBad	2
PRV091+1	Problems/PRV091+1.p	Proofs/PRV091+1.s	evil	VerifiedBad	2
PRV092+1	Problems/PRV092+1.p	Proofs/PRV092+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV093+1	Problems/PRV093+1.p	Proofs/PRV093+1.s	locally_sound_evil	VerifiedGood|VerifiedBad	2
PRV094+1	Problems/PRV094+1.p	Proofs/PRV094+1.s	evil	VerifiedBad	2
PRV095+1	Problems/PRV095+1.p	Proofs/PRV095+1.s	evil	VerifiedBad	2
PRV096+1	Problems/PRV096+1.p	Proofs/PRV096+1.s	valid	VerifiedGood	1
PRV097+1	Problems/PRV097+1.p	Proofs/PRV097+1.s	evil	VerifiedBad	2
PRV098+1	Problems/PRV098+1.p	Proofs/PRV098+1.s	valid	VerifiedGood	1
PRV099+1	Problems/PRV099+1.p	Proofs/PRV099+1.s	evil	VerifiedBad	2
